5625,down
7500,left
9375,up
11250,right
13125,down
15000,up
15937.5,right
16875,down
17812.5,left
18750,left
19687.5,up
20625,down
21562.5,up
22500,right
23437.5,right
24375,left
25312.5,up
26250,down
28125,down
28593.75,left
29062.5,up
30000,left
30468.75,right
30937.5,right
31406.25,left
31875,down
32343.75,left
32812.5,down
33281.25,up
33750,right
34218.75,up
34687.5,right
35000,left
35156.25,up
35625,down
37031.25,down
37300,up
37968.75,down
38437.5,right
38750,left
38906.25,right
39375,left
39687.5,down
40156.25,left
40312.5,up
40781.25,up
41250,down
41718.75,right
42187.5,up
42500,left
42656.25,right
43125,down
