2080,up
7300,right
7825,left
8295,up
8705,down
9175,up
9575,down
10245,right
10720,left
10985,up
11240,down
11470,right
11730,up
12215,down
12470,right
12930,up
13335,right
14210,left
14475,right
14750,down
14950,down
15230,up
15490,right
16185,right
16675,up
17110,down
17960,left
18710,down
19850,up
20855,right
21780,left
23040,down
23660,up
24570,right
25460,down
26395,left
27365,right
27800,up
28040,down
28580,up
28815,down
29215,right
29460,left
29720,right
29965,up
30180,down
30455,up
30715,right
31225,left
32095,up
33070,down
33940,right
34830,up
35270,down
35515,up
35995,down
36260,up
36525,right
36780,left
37015,down
37250,up
37695,right
37950,right
38310,up
38955,up
39600,up
40290,up
40715,down
41695,down
42595,down
43830,down
44700,down
45680,right
46135,right
46630,right
47125,right
47615,right
48130,right
48505,left
48950,left
49365,left
49965,left
50410,up
50845,up
51250,up
51615,down
52085,up
52510,down
52725,up
52980,right
53235,left
53675,left
54120,left
54615,left
55100,left
55570,left
55990,right
56405,right
56980,right
57455,right
57850,right
58320,right
58730,up
59115,down
59510,up
59755,right
59985,down
60200,up
60445,right
60760,right
61230,up
61645,down
62130,up
62595,down
63040,up
63460,down
63920,up
64305,down
64840,right
65085,left
65345,right
65800,left
66080,down
66580,up
67065,up
67495,up
67945,up
68195,right
68660,left
69085,down
69590,down
70065,up
70515,right
70945,down
71485,down
71880,left
72340,up
72845,right
73315,up
73755,right
74115,left
74720,down
75215,down
75670,up
76170,up
76585,right
77120,right
77570,left
78060,left
78485,up
78995,up
79410,down
79815,up
80060,right
80335,down
80700,up
80985,left
81425,down
81900,down
82400,down
82825,down
83145,up
83420,right
83695,down
83915,up
84135,up
84535,right
84785,down
85020,up
85305,left
85570,up
85840,down
86045,down
86425,right
86655,up
86895,down
87380,right
87650,up
87880,down
88270,left
88520,up
89045,up
89405,down
89820,up
90235,down
90625,up
90995,up
91180,up
91365,up
91540,up
91715,up
92145,up
92315,up
92475,up
92630,up
92795,up
92945,up
93125,up
93600,right
93955,right
94410,right
94870,right
95110,right
95285,right
95550,left
95865,left
96585,down
96830,up
97040,down
97265,right
97500,up
97710,down
97945,up
98165,up
98655,up
99560,up
100520,up
102415,right
102820,up
103065,down
103540,up
103775,down
104200,right
104475,left
104705,up
104960,down
105200,up
105430,down
105715,up
106200,down
107105,right
107985,left
108895,right
109805,left
110290,right
110570,left
111025,right
111270,left
111510,up
111735,down
112010,up
112240,down
112555,right
112795,left
113015,up
113215,down
113815,down
114635,down
115325,down
115655,right
115895,up
116130,down
116610,right
117615,left
118490,left
118985,down
119245,up
119480,down
119755,left
120010,right
120265,left
120510,right
120740,left
121215,left
121735,left
122170,left
122645,left
123120,left
123470,down
123525,down
123880,down
124235,down
124880,right
125130,up
125365,down
125800,right
126105,up
126550,down
127085,up
127460,down
127735,right
127970,left
128190,up
128655,up
129165,up
129630,up
130090,up
130620,up
131035,right
131355,down
131585,up
132595,right
133335,left
133800,down
134120,up
134600,right
134830,right
135135,left
135400,down
135695,up
136135,up
136610,up
137080,up
137570,up
138225,up
138525,right
139015,down
139315,up
139745,left
140060,down
140320,up
140715,right
141265,up
141580,up
142065,up
142530,up
142915,right
143260,left
143645,down
144070,up
144550,right
145020,down
146875,down
148620,down
150540,up
151405,right
151860,left
152370,right
153020,right
153975,left
154855,down
155795,left
156610,down
157440,up
157980,right
159280,right
159560,left
159830,up
160260,up
160605,up
161050,up
161530,up
162015,up
162520,up
162905,up
163260,down
163525,up
163965,down
164385,down
164770,down
165225,down
165705,down
166150,down
166755,right
167025,left
167285,right
167615,right
168095,right
168500,left
169000,left
169400,right
169905,right
170365,left
170825,left
171320,right
171805,right
172215,left
172710,left
173145,right
173575,left
174270,up
174535,down
174770,up
175020,down
175560,right
175980,right
176480,right
176925,right
177445,right
177835,left
178140,left
178525,left
179470,up
180210,up
180575,down
180845,right
181085,left
181360,up
181590,down
181845,up
182185,down
182435,up
182700,right
183105,right
183560,right
183960,left
184430,left
184895,left
185305,up
185590,down
185895,up
186700,left
186980,down
187235,up
187630,up
187940,up
188325,down
188860,down
189340,down
189750,down
190090,right
190585,right
190990,right
191450,right
191635,right
191915,left
192355,left
192855,left
193280,left
193490,left
193765,up
194510,up
195205,up
195915,up
196345,right
196590,left
196830,right
197105,left
197545,down
198005,down
198450,up
198880,right
199140,down
199380,up
199885,up
200325,up
200775,left
201055,down
201675,right
201950,up
202195,down
202615,up
202845,down
203345,right
203800,left
204270,down
204710,up
205120,down
205575,down
206030,down
206495,down
206950,right
207430,right
207890,right
208370,right
208790,left
209315,left
209740,left
210245,left
210660,up
211075,down
211705,up
211955,down
212215,up
212515,right
213040,right
213515,right
213960,right
214435,left
214915,left
215360,left
215810,left
216475,down
216805,down
217260,down
217690,down
218110,up
218475,down
219230,right
219485,left
219715,up
